#NAME	S1209	S1250	S1295	S1210	S1360	S1395	S1183	S1425	S1185	S1294	S1304	S1221	S1332	S1399	S1335	S1181	S1180	S1233	S1380	S1217	S1344	S1416	S1225	S1381	S1356	S1336	S1329	S1428	S1417	S1251	S1232	S1370	S1424	S1421	S1422	S1413	S1281	S1280	S1317	S1410	S1415	S1310	S1315	S1320	S1414	S1278	S1419	S1423	S1292	S1378	S1273	S1334	S1248	S1264	S1255	S1285	S1283	S1387	S1404	S1340	S1275	S1402	S1240	S1330	S1222	S1214	S1384	S1383	S1331	S999	S1007	S991	S990	S1043	S1074	S1026	S1052	S1034	S1016	S1053	S1085	S1120	S1139	S1122	S1151	S1131	S1096	S1127	S1092	S1152	S1123	S1107	S1134	S1124	S1089	S1115	S1083	S1005	S1006	S1015	S1001	S1106	S1088	S1039	S1057	S1013	S1445	S1430	S1446	S1436	S1450	S1454	S1449	S1435	S1462	S1469	S1453	S1455	S1495	S1512	S1515	S1533	S1520	S1511	S1501	S1502	S1493	S1494	S1534	S1492	S1499	S1531	S1470	S1476	S1475	S1487	S1567	S1566	S1474	S1583	S718	S713	S706	S704	S703	S717	S710	S690	S681	S676
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	0.124828532	0.088789126	0.196034418	0.150018706	0.353036538	0.127322609	0.099763063	0.137298915	0.195410899	0.140790622	0.223469261	0.093527871	0.329093403	0.079186931	0.135553061	0.343434343	0.154882155	0.108242923	0.185808704	0.195785011	0.102132435	0.142411772	0.172465395	0.199401422	0.355780022	0.177952363	0.120339194	0.13517895	0.140665918	0.111111111	0.157251528	0.115600449	0.155131563	0.183564035	0.236687866	0.107868812	0.196283826	0.123581494	0.129068462	0.162738496	0.155256266	0.068212994	0.118593341	0.190298042	0.145778775	0.228208006	0.124953236	0.107868812	0.24267365	0.17458536	0.070582367	0.120214491	0.123955605	0.079436339	0.066965956	0.207881282	0.287816436	0.129691982	0.137174211	0.189051004	0.139294176	0.192542711	0.233320863	0.2149894	0.10063599	0.12183564	0.103878289	0.068212994	0.145778775	0.191295673	0.222097518	0.25601696	0.106372366	0.371742112	0.159122085	0.119715675	0.108617035	0.330963961	0.408529742	0.104002993	0.097019579	0.153385709	0.084549196	0.226462152	0.104002993	0.154133932	0.120339194	0.179199401	0.130315501	0.251278214	0.098765432	0.265743858	0.193415638	0.076069335	0.255767552	0.154632747	0.241177204	0.189051004	0.234942013	0.13842125	0.239680758	0.086669161	0.119840379	0.173338321	0.126948497	0.111485223	0.074822297	0.072452924	0.044893378	0.169971318	0.119965083	0.14104003	0.185309889	0.139044769	0.095897244	0.155879786	0.133807208	0.175084175	0.192792119	0.167352538	0.184312258	0.187554558	0.15438334	0.201271979	0.186182816	0.176705325	0.170594837	0.289811697	0.134181319	0.091906722	0.252275845	0.076692854	0.156253897	0.140042399	0.109864073	0.040528744	0.240678389	0.066342437	0.180197032	0.070582367	0.109365258	0.122459159	0.072078813	0.104002993	0.145778775	0.288315251	0.124579125	0.233320863	0.218481107	0.261129817
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__	0.147275221	0.030053623	0.058236688	0.187429854	0.032672403	0.136675396	0.205013094	0.223344557	0.135303654	0.111111111	0.062351914	0.117845118	0.030677142	0.194163861	0.150766929	0.045516897	0.184187555	0.18306522	0.124080309	0.065843621	0.123706198	0.099139544	0.061104876	0.047636862	0.031425365	0.147025814	0.144282329	0.16124205	0.145404664	0.044145155	0.13256017	0.156253897	0.213867066	0.182691109	0.050006235	0.118094526	0.034667664	0.071829405	0.177578252	0.241177204	0.15438334	0.068711809	0.087666791	0.080059858	0.085920938	0.045142786	0.279336576	0.136301284	0.042898117	0.06709066	0.083302157	0.215114104	0.127322609	0.086295049	0.230702083	0.057239057	0.026561915	0.093777279	0.12931787	0.232323232	0.134056616	0.108492331	0.099264247	0.096645467	0.171966579	0.044519267	0.120713306	0.217483477	0.035665295	0.149270483	0.040279337	0.082304527	0.117969822	0.060730764	0.138920065	0.216361142	0.044643971	0.046514528	0.035665295	0.113231076	0.120214491	0.158249158	0.162114977	0.040154633	0.052250904	0.04040404	0.133308393	0.058610799	0.208878913	0.040154633	0.086419753	0.034418257	0.020825539	0.0260631	0.038284075	0.045392194	0.111485223	0.03940641	0.17458536	0.249657064	0.138920065	0.080184562	0.072702332	0.070457663	0.106372366	0.155256266	0.074947001	0.192916823	0.155131563	0.121087417	0.1368001	0.058111984	0.047138047	0.119965083	0.18630752	0.174834767	0.123955605	0.222970445	0.162239681	0.137423619	0.161366754	0.097892505	0.111609926	0.108866442	0.093901983	0.148771667	0.124205013	0.125701459	0.074323482	0.071579998	0.075944632	0.106746477	0.138171842	0.223469261	0.247786507	0.432223469	0.105624143	0.242050131	0.11011348	0.262626263	0.221723407	0.159122085	0.284823544	0.174710064	0.122459159	0.063349545	0.242548946	0.084175084	0.038284075	0.031799476
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	0.059733134	0.052749719	0.12769672	0.054744981	0.15438334	0.091782018	0.060107245	0.054620277	0.083426861	0.1074947	0.065594214	0.102381843	0.05636613	0.091033795	0.134555431	0.095024317	0.066841252	0.068587106	0.105125327	0.035914703	0.111485223	0.062601322	0.089163237	0.060107245	0.053996758	0.075321112	0.120713306	0.101384212	0.11173463	0.142037661	0.092031425	0.108866442	0.048010974	0.03454296	0.105250031	0.079685746	0.071829405	0.072078813	0.080309265	0.064721287	0.079062227	0.249407657	0.19740616	0.096146652	0.099638359	0.099513655	0.069335329	0.114104003	0.094026687	0.141164734	0.112981669	0.117845118	0.122833271	0.131437835	0.055243796	0.172839506	0.117346303	0.148397556	0.105748846	0.076194039	0.082803342	0.087417384	0.088664422	0.114727522	0.095024317	0.140541215	0.17882529	0.102755955	0.210375359	0.083551565	0.122708567	0.054744981	0.118842748	0.057862576	0.070083552	0.099139544	0.144157626	0.104751216	0.086669161	0.06222721	0.204638982	0.066841252	0.093652575	0.095523133	0.195161491	0.176455917	0.093901983	0.14365881	0.044768674	0.188178077	0.218481107	0.114104003	0.074697593	0.085546826	0.073450555	0.119466268	0.056241427	0.051752089	0.078064597	0.116348672	0.085422122	0.18630752	0.138171842	0.101508916	0.114602818	0.099887767	0.093652575	0.096396059	0.133308393	0.060980172	0.066591844	0.055119092	0.028432473	0.051253273	0.042149894	0.040154633	0.048634493	0.097268986	0.057613169	0.091782018	0.044269859	0.115351041	0.089038533	0.073076443	0.101134805	0.031674772	0.05798728	0.045516897	0.099388951	0.11011348	0.054121462	0.090285572	0.081057488	0.068337698	0.042399302	0.053248535	0.054869684	0.069584736	0.051377977	0.165980796	0.047013343	0.047013343	0.112856965	0.053373239	0.086918568	0.070956478	0.050754458	0.086793865	0.076817558	0.058984911
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella	0.043771044	0.03616411	0.113729892	0.079685746	0.099763063	0.096645467	0.039780521	0.14951989	0.080808081	0.064471879	0.036039406	0.046015713	0.073450555	0.069834144	0.052001496	0.057488465	0.045142786	0.01271979	0.105000624	0.024317247	0.039531114	0.161117346	0.163611423	0.118343933	0.136425988	0.109988777	0.074448186	0.048010974	0.149644594	0.080808081	0.053497942	0.071954109	0.135553061	0.062601322	0.078937523	0.063349545	0.015463275	0.048509789	0.043771044	0.132934281	0.074572889	0.034168849	0.103005362	0.058735503	0.133058985	0.043022821	0.160867939	0.073201147	0.064471879	0.057363761	0.02182317	0.050505051	0.031550069	0.032672403	0.037161741	0.059857838	0.076069335	0.08567153	0.087916199	0.059733134	0.030677142	0.086045642	0.092031425	0.133433096	0.064845991	0.057613169	0.164359646	0.11335578	0.047013343	0.056490834	0.115600449	0.022321985	0.018456167	0.116972191	0.094400798	0.048509789	0.170594837	0.089038533	0.047636862	0.056241427	0.06222721	0.103753585	0.046639232	0.04102756	0.039780521	0.098266617	0.053373239	0.087043272	0.095523133	0.054994388	0.081930415	0.079935154	0.058486096	0.016835017	0.260007482	0.079311635	0.147649333	0.030801846	0.057488465	0.051627385	0.087916199	0.033670034	0.050754458	0.065594214	0.065594214	0.059359022	0.036288814	0.039655817	0.032672403	0.049756828	0.048634493	0.039032298	0.051502681	0.131562539	0.034792368	0.121087417	0.05374735	0.068337698	0.123706198	0.144656441	0.085422122	0.171218356	0.143409403	0.115101634	0.132684873	0.18468637	0.224841003	0.21922933	0.063224841	0.059857838	0.07981045	0.055617907	0.084923307	0.120214491	0.054744981	0.123207382	0.074448186	0.052250904	0.179573513	0.035540591	0.098640728	0.097767801	0.036538222	0.046514528	0.107993515	0.189674523	0.068212994	0.044893378	0.123332086	0.211372989
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium	0.027559546	0.089786756	0.051502681	0.045766305	0.026561915	0.071081182	0.08305275	0.044145155	0.053872054	0.054495573	0.035415887	0.073450555	0.049881531	0.070457663	0.050006235	0.037037037	0.067589475	0.10063599	0.085297419	0.080184562	0.072203517	0.098266617	0.043521636	0.078688116	0.038907594	0.026936027	0.055243796	0.06808829	0.058236688	0.083177454	0.052001496	0.065220102	0.064347175	0.073076443	0.070831775	0.096520763	0.037660556	0.041276967	0.063349545	0.050505051	0.048385085	0.033919441	0.021698466	0.042898117	0.038782891	0.055493204	0.052999127	0.066841252	0.022945504	0.028183065	0.095897244	0.041526375	0.030677142	0.031674772	0.045891009	0.048010974	0.041775783	0.043022821	0.056615538	0.039032298	0.07133059	0.052999127	0.090036164	0.040029929	0.07295174	0.038159371	0.048385085	0.047761566	0.028307769	0.063224841	0.067714179	0.166105499	0.065718918	0.036288814	0.058735503	0.051627385	0.050879162	0.043272228	0.044269859	0.084549196	0.039531114	0.074947001	0.036912333	0.151889263	0.07557052	0.097643098	0.086419753	0.080059858	0.06122958	0.028432473	0.046389824	0.074448186	0.032048884	0.18468637	0.048759197	0.046514528	0.060107245	0.142287068	0.044519267	0.049258012	0.075445816	0.146028183	0.09153261	0.061728395	0.055992019	0.048634493	0.04626512	0.068836513	0.037411149	0.086544457	0.102506547	0.080059858	0.07557052	0.05698965	0.086669161	0.086918568	0.052250904	0.061977803	0.073575259	0.045516897	0.047512159	0.034917072	0.063349545	0.139044769	0.064721287	0.060606061	0.045392194	0.029180696	0.076568151	0.04526749	0.09477491	0.100386582	0.059359022	0.070457663	0.073325851	0.022321985	0.077316374	0.059483726	0.044394563	0.036912333	0.118718045	0.099513655	0.058735503	0.110737	0.089786756	0.054121462	0.112358149	0.119715675	0.029055992	0.059982541
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas	0.03192418	0.418131937	0.043396932	0.111984038	0.021698466	0.064970695	0.070707071	0.064845991	0.047138047	0.06808829	0.062351914	0.054495573	0.03778526	0.085048011	0.053872054	0.02768425	0.048010974	0.035041776	0.033046515	0.046389824	0.086544457	0.088415014	0.043147525	0.109864073	0.026936027	0.038782891	0.038782891	0.109365258	0.051377977	0.055119092	0.081556304	0.073076443	0.08567153	0.084424492	0.096021948	0.110986407	0.185559297	0.115725153	0.080558673	0.048385085	0.06122958	0.031799476	0.02020202	0.080309265	0.031175957	0.057737873	0.037286445	0.067340067	0.032672403	0.051627385	0.111859334	0.093777279	0.077939893	0.101384212	0.186556927	0.059483726	0.03940641	0.031550069	0.060481357	0.06384836	0.072203517	0.04202519	0.034168849	0.035415887	0.06808829	0.044519267	0.03454296	0.065718918	0.052874423	0.051876793	0.026686619	0.070582367	0.114602818	0.032422995	0.092280833	0.050380347	0.038159371	0.025813692	0.027933658	0.079062227	0.035540591	0.060107245	0.02768425	0.064097768	0.043396932	0.043022821	0.040778152	0.054744981	0.074697593	0.058361392	0.03616411	0.093527871	0.025439581	0.1628632	0.030552438	0.077690485	0.045142786	0.104501808	0.055617907	0.039780521	0.061354284	0.067714179	0.039032298	0.085796234	0.030178326	0.041152263	0.161990273	0.104377104	0.160743235	0.132934281	0.124828532	0.2703579	0.14852226	0.088539718	0.110238184	0.070208255	0.13256017	0.044643971	0.078438708	0.044893378	0.088415014	0.032547699	0.044145155	0.044394563	0.039780521	0.07394937	0.033420626	0.028307769	0.043272228	0.035291183	0.086295049	0.098765432	0.074198778	0.057862576	0.082678638	0.01920439	0.050754458	0.041401671	0.03616411	0.092654945	0.052749719	0.100760693	0.033420626	0.036288814	0.049632124	0.024940766	0.041401671	0.06808829	0.021074947	0.027434842
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus	0.034418257	0.011472752	0.015213867	0.03616411	0.01172216	0.045018082	0.073575259	0.052625016	0.061104876	0.04040404	0.019578501	0.093278464	0.017832647	0.073824666	0.028931288	0.017084424	0.050006235	0.041526375	0.036912333	0.022197281	0.077690485	0.057737873	0.029180696	0.019453797	0.013592717	0.031425365	0.027559546	0.038533483	0.035291183	0.028307769	0.046514528	0.032298292	0.049382716	0.053248535	0.01010101	0.065344806	0.010849233	0.056490834	0.03454296	0.048759197	0.053248535	0.032797107	0.018456167	0.019329093	0.028557177	0.027559546	0.065718918	0.036912333	0.01172216	0.010475122	0.055493204	0.043771044	0.031051253	0.037660556	0.053872054	0.01172216	0.020825539	0.048883901	0.070956478	0.041651079	0.040029929	0.018954982	0.041900486	0.036039406	0.061478987	0.02182317	0.03454296	0.04626512	0.023818431	0.044269859	0.016710313	0.028557177	0.042773413	0.020825539	0.035291183	0.07719167	0.029804215	0.018705574	0.017832647	0.024816062	0.03616411	0.072577628	0.06222721	0.020825539	0.032921811	0.042399302	0.061603691	0.043022821	0.093652575	0.021449058	0.04626512	0.017333832	0.012844494	0.011971568	0.018206759	0.032547699	0.054744981	0.020576132	0.02506547	0.027434842	0.033171218	0.030677142	0.034168849	0.025439581	0.01758324	0.055617907	0.043147525	0.044519267	0.03616411	0.014964459	0.030552438	0.022446689	0.016211498	0.061977803	0.092904352	0.065843621	0.038408779	0.06122958	0.04526749	0.040653448	0.047512159	0.026561915	0.047262751	0.077565781	0.042898117	0.069460032	0.035291183	0.031550069	0.034917072	0.142785884	0.023194912	0.038658187	0.058610799	0.051253273	0.044020451	0.053123831	0.028557177	0.04788627	0.04626512	0.06122958	0.055243796	0.071205886	0.0781893	0.072452924	0.040902856	0.012844494	0.054869684	0.062975433	0.01271979	0.013717421
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia	0.135553061	0.04040404	0.019827909	0.019329093	0.026312508	0.031550069	0.030053623	0.032048884	0.031425365	0.033295922	0.023693727	0.037037037	0.052999127	0.04040404	0.14951989	0.035041776	0.026187804	0.053996758	0.019453797	0.011098641	0.041900486	0.017957351	0.034293553	0.015587979	0.012470383	0.064970695	0.063349545	0.020700836	0.015587979	0.026187804	0.032422995	0.068587106	0.020576132	0.040528744	0.060107245	0.031674772	0.0293054	0.096146652	0.035789999	0.018456167	0.039157002	0.046763936	0.122708567	0.033295922	0.081306896	0.024067839	0.023319616	0.020451428	0.091283202	0.036912333	0.025439581	0.026437212	0.066965956	0.056615538	0.066093029	0.093278464	0.039780521	0.028557177	0.070582367	0.022696097	0.050130939	0.027060731	0.055243796	0.031799476	0.022696097	0.013717421	0.048759197	0.035665295	0.079062227	0.024192543	0.122833271	0.020700836	0.015338571	0.010225714	0.018456167	0.036912333	0.039655817	0.019578501	0.015338571	0.013592717	0.01596209	0.022072578	0.061104876	0.009851602	0.015213867	0.01920439	0.012969198	0.05374735	0.025564285	0.026561915	0.054370869	0.012345679	0.009103379	0.004614042	0.011223345	0.034044145	0.009851602	0.006858711	0.035789999	0.031799476	0.020700836	0.019453797	0.031799476	0.021199651	0.045516897	0.020950243	0.010724529	0.016835017	0.015089163	0.054994388	0.019329093	0.010973937	0.010849233	0.060107245	0.019703205	0.01858087	0.024691358	0.026686619	0.018954982	0.017707944	0.020950243	0.024816062	0.017707944	0.010475122	0.019329093	0.011971568	0.013966829	0.010724529	0.018705574	0.01271979	0.010849233	0.02020202	0.02344432	0.016585609	0.057363761	0.013717421	0.030801846	0.062726026	0.044020451	0.029679511	0.028931288	0.063224841	0.019703205	0.020077316	0.046888639	0.027933658	0.054994388	0.011846864	0.023569024	0.018082055
k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales;f__Gemellaceae;g__	0.021698466	0.015089163	0.023943135	0.021074947	0.010599825	0.035789999	0.04202519	0.01334331	0.034418257	0.036912333	0.045142786	0.046639232	0.036039406	0.031550069	0.021324355	0.018331463	0.029055992	0.016835017	0.031051253	0.021199651	0.027808954	0.011971568	0.012345679	0.018830278	0.016460905	0.035415887	0.063973064	0.036538222	0.020077316	0.032797107	0.045392194	0.041152263	0.012220975	0.017084424	0.02444195	0.025439581	0.022072578	0.046015713	0.048883901	0.023319616	0.025938396	0.071455294	0.012844494	0.070956478	0.030926549	0.035789999	0.013842125	0.021449058	0.066467141	0.061728395	0.039905225	0.061977803	0.076692854	0.061977803	0.023194912	0.028183065	0.018331463	0.078937523	0.042898117	0.01271979	0.04102756	0.040902856	0.030552438	0.032048884	0.039531114	0.079062227	0.02344432	0.03778526	0.076817558	0.030926549	0.048385085	0.019827909	0.125950867	0.01758324	0.025314877	0.058486096	0.024192543	0.049756828	0.028183065	0.042274598	0.050380347	0.021199651	0.102506547	0.026561915	0.049881531	0.052625016	0.038159371	0.045641601	0.01920439	0.054246165	0.030801846	0.013218606	0.011846864	0.029804215	0.013468013	0.041900486	0.010724529	0.021324355	0.024940766	0.009602195	0.028307769	0.026686619	0.023319616	0.035540591	0.055493204	0.018082055	0.020700836	0.017458536	0.03030303	0.013592717	0.018954982	0.027808954	0.005985784	0.007856341	0.01334331	0.026686619	0.015089163	0.01758324	0.029804215	0.025688989	0.020700836	0.013717421	0.025688989	0.021324355	0.038658187	0.016336202	0.013717421	0.024566654	0.050380347	0.046389824	0.027808954	0.03354533	0.019578501	0.044643971	0.044643971	0.020700836	0.016835017	0.029804215	0.013966829	0.048883901	0.011223345	0.02444195	0.054370869	0.033919441	0.057737873	0.009726899	0.022945504	0.028931288	0.016336202	0.009602195
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__Leptotrichia	0.015089163	0.010849233	0.042773413	0.016835017	0.008230453	0.009851602	0.019453797	0.023693727	0.022820801	0.025190173	0.018456167	0.015712682	0.031425365	0.021074947	0.029928919	0.040528744	0.024317247	0.013468013	0.022571393	0.015463275	0.016710313	0.012096271	0.051876793	0.018082055	0.039032298	0.03454296	0.011971568	0.024691358	0.025813692	0.017084424	0.005985784	0.023319616	0.024566654	0.016336202	0.019079686	0.018705574	0.011597456	0.021324355	0.028183065	0.018082055	0.017084424	0.013842125	0.018705574	0.01920439	0.016086794	0.043147525	0.010849233	0.026936027	0.026187804	0.030926549	0.013717421	0.012470383	0.01434094	0.014465644	0.019952613	0.012969198	0.055243796	0.015089163	0.024691358	0.016211498	0.037411149	0.031674772	0.021449058	0.019329093	0.020700836	0.016460905	0.033171218	0.039655817	0.006858711	0.0293054	0.021074947	0.022446689	0.016086794	0.031175957	0.027060731	0.021698466	0.015338571	0.035665295	0.038159371	0.019703205	0.015587979	0.021199651	0.024067839	0.017832647	0.026811323	0.022945504	0.024067839	0.018830278	0.026312508	0.023319616	0.024691358	0.028681881	0.043521636	0.006484599	0.026187804	0.052749719	0.016460905	0.014839756	0.02506547	0.025439581	0.018082055	0.021199651	0.026312508	0.032921811	0.033171218	0.023319616	0.007856341	0.010475122	0.013966829	0.015089163	0.030552438	0.010849233	0.012844494	0.021074947	0.016460905	0.024317247	0.017957351	0.017458536	0.020077316	0.023693727	0.017084424	0.037535852	0.018830278	0.015837386	0.018331463	0.014590348	0.022321985	0.0260631	0.021074947	0.018082055	0.022446689	0.021947874	0.018954982	0.022945504	0.019329093	0.00586108	0.01920439	0.014964459	0.019079686	0.013842125	0.02506547	0.03192418	0.026437212	0.020700836	0.02444195	0.009602195	0.024192543	0.011348048	0.028557177	0.013218606
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__[Prevotella]	0.010475122	0.011846864	0.02182317	0.054620277	0.008978676	0.029679511	0.013717421	0.024566654	0.014964459	0.016211498	0.016460905	0.024067839	0.039032298	0.008105749	0.021449058	0.034293553	0.028058361	0.001745854	0.018331463	0.010475122	0.012345679	0.017832647	0.028058361	0.03940641	0.043022821	0.043521636	0.009726899	0.015089163	0.016460905	0.013717421	0.041526375	0.016086794	0.021324355	0.057114353	0.009726899	0.011472752	0.010225714	0.012844494	0.013218606	0.015089163	0.028557177	0.007606934	0.006110488	0.044145155	0.012595087	0.061104876	0.008355157	0.027434842	0.006858711	0.018830278	0.032173588	0.015463275	0.021698466	0.01271979	0.010973937	0.033670034	0.035914703	0.012220975	0.020451428	0.030178326	0.014839756	0.028183065	0.007856341	0.016336202	0.025190173	0.012470383	0.009726899	0.012595087	0.01271979	0.044145155	0.024940766	0.019952613	0.022197281	0.015712682	0.018206759	0.011348048	0.012969198	0.013966829	0.016835017	0.024691358	0.011971568	0.037909964	0.016585609	0.011472752	0.01858087	0.012595087	0.016211498	0.027933658	0.020950243	0.025314877	0.009976306	0.0260631	0.040154633	0.003865819	0.01858087	0.017957351	0.04626512	0.029055992	0.009228083	0.022945504	0.014964459	0.009352787	0.01172216	0.015089163	0.012844494	0.018830278	0.014465644	0.014590348	0.011846864	0.021324355	0.045392194	0.021199651	0.078688116	0.019952613	0.031300661	0.018456167	0.020326724	0.019453797	0.02444195	0.011597456	0.039281706	0.017458536	0.026187804	0.022072578	0.013717421	0.049756828	0.040528744	0.01596209	0.035291183	0.01920439	0.013468013	0.017458536	0.015213867	0.022696097	0.016086794	0.018331463	0.053622646	0.017832647	0.020825539	0.023319616	0.020326724	0.021449058	0.018954982	0.008729268	0.028183065	0.016086794	0.010225714	0.012096271	0.02344432	0.029180696
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Granulicatella	0.043022821	0.007606934	0.009103379	0.011971568	0.009602195	0.018206759	0.035540591	0.012844494	0.019079686	0.024192543	0.010475122	0.038408779	0.00748223	0.016835017	0.019453797	0.007232822	0.018954982	0.016211498	0.011597456	0.007108118	0.013966829	0.009477491	0.017957351	0.009602195	0.006609303	0.030053623	0.035914703	0.011223345	0.016710313	0.032921811	0.058361392	0.025439581	0.014465644	0.010475122	0.013468013	0.019578501	0.016585609	0.020077316	0.030178326	0.032547699	0.018082055	0.007731637	0.080808081	0.034418257	0.024691358	0.017707944	0.013717421	0.079436339	0.026312508	0.015587979	0.016336202	0.022446689	0.035291183	0.021074947	0.018954982	0.014715052	0.015338571	0.024192543	0.016211498	0.00748223	0.013966829	0.008978676	0.027434842	0.021324355	0.018705574	0.034667664	0.01434094	0.019952613	0.019952613	0.028931288	0.019827909	0.011348048	0.016211498	0.011098641	0.009851602	0.060606061	0.025439581	0.011348048	0.019329093	0.033295922	0.054121462	0.013717421	0.045018082	0.007981045	0.024317247	0.017957351	0.023319616	0.030427734	0.014216236	0.022072578	0.025190173	0.008729268	0.014964459	0.014964459	0.01172216	0.018206759	0.008853972	0.01334331	0.018705574	0.017707944	0.015837386	0.021947874	0.026312508	0.02020202	0.016211498	0.014091533	0.00586108	0.014465644	0.0260631	0.01010101	0.011597456	0.008978676	0.006734007	0.011846864	0.013717421	0.009976306	0.008604564	0.016336202	0.02768425	0.019703205	0.01172216	0.014715052	0.02020202	0.015587979	0.009851602	0.005112857	0.009477491	0.010350418	0.04202519	0.027808954	0.009228083	0.034917072	0.016086794	0.017333832	0.029928919	0.020451428	0.009851602	0.029928919	0.014715052	0.027559546	0.017957351	0.011223345	0.038907594	0.037411149	0.025190173	0.006359895	0.010475122	0.04526749	0.022321985	0.017458536
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces	0.019578501	0.023194912	0.053123831	0.030552438	0.043147525	0.014465644	0.010599825	0.012969198	0.029804215	0.027434842	0.013717421	0.009352787	0.020326724	0.009602195	0.028806584	0.01271979	0.037161741	0.01172216	0.009228083	0.008230453	0.010350418	0.015712682	0.052999127	0.012096271	0.011971568	0.011971568	0.031300661	0.008853972	0.011597456	0.024566654	0.010225714	0.024067839	0.009851602	0.01858087	0.008729268	0.005736376	0.010599825	0.008853972	0.013218606	0.006858711	0.014964459	0.014590348	0.049133308	0.028183065	0.02182317	0.028432473	0.010225714	0.016959721	0.02344432	0.018830278	0.010350418	0.016835017	0.023693727	0.024940766	0.034044145	0.019703205	0.036413518	0.014091533	0.015837386	0.011846864	0.028931288	0.012096271	0.01596209	0.025439581	0.015712682	0.030801846	0.026312508	0.022820801	0.015338571	0.016959721	0.023194912	0.009976306	0.00748223	0.011223345	0.006359895	0.012220975	0.047138047	0.029180696	0.012096271	0.010350418	0.01271979	0.009851602	0.011348048	0.009477491	0.026437212	0.031799476	0.014964459	0.013468013	0.018705574	0.03454296	0.015338571	0.018331463	0.064970695	0.003741115	0.019453797	0.053622646	0.006609303	0.01010101	0.023569024	0.038408779	0.010849233	0.008729268	0.01010101	0.009602195	0.01271979	0.016211498	0.009477491	0.006858711	0.009976306	0.007357526	0.015089163	0.005611672	0.009352787	0.0293054	0.011472752	0.01172216	0.011348048	0.007108118	0.009851602	0.01920439	0.015712682	0.022820801	0.06222721	0.008355157	0.010973937	0.008355157	0.030926549	0.015712682	0.010599825	0.009726899	0.006110488	0.011971568	0.010973937	0.009228083	0.011223345	0.021573762	0.011098641	0.014091533	0.050380347	0.010973937	0.018206759	0.027310138	0.009352787	0.008853972	0.018954982	0.024691358	0.020451428	0.00586108	0.033670034	0.048135678
